爱,ài love
八,bā eight
爸爸,bàba Dad
杯子,bēizi cup; glass
北京,Běijīng Beijing
本,běn measure word for books
不客气,bú kèqi you're welcome; don't be polite
不,bù no; not
菜,cài dish (type of food); vegetables
茶,chá tea
吃,chī eat
出租车,chūzūchē taxi; cab
打电话,dǎ diànhuà make a phone call
大,dà big; large
的,de indicates possession
点,diǎn a dot; a little; o'clock
电脑,diànnǎo etcomputer
电视,diànshì television; TV
电影,diànyǐng movie; film
东西,dōngxi things; stuff
都,dōu all; both
读,dú to read; to study
对不起,duìbuqǐ sorry
多,duō many
多少,duōshao how much?; how many?
儿子,érzi son
二,èr two
饭店,fàndiàn restaurant; hotel
飞机,fēijī airplane
分钟,fēnzhōng minute; (measure word for time)
高兴,gāoxìng happy; glad
个,ge general measure word
工作,gōngzuò work; a job
狗,gǒu dog
汉语,Hànyǔ Chinese language
好,hǎo good
号,hào number; day of a month
喝,hē to drink
和,hé and; with
很,hěn very; quite
后面,hòumian back; behind
回,huí to return; to reply; to go back
会,huì know how to
几,jǐ how many; several; a few
家,jiā family; home
叫,jiào to be called
今天,jīntiān today
九,jiǔ nine
开,kāi to open; to start; to operate (a vehicle)
看,kàn see; look at; to watch
看见,kànjiàn see; catch sight of
块,kuài lump; piece; sum of money
来,lái come; arrive; ever since; next
老师,lǎoshī teacher
了,le indicates a completed or finished action
冷,lěng cold
里,lǐ inside; Chinese mile (~.5 km)
六,liù six
妈妈,māma mom; mum
吗,ma indicates a yes/no question (added to a statement)
买,mǎi to buy
猫,māo cat
没关系,méi guānxi it doesn't matter; never mind
没有,méiyǒu not have; there is not
米饭,mǐfàn (cooked) rice
明天,míngtiān tomorrow
名字,míngzi name
哪,nǎa which; how
哪儿,nǎr where? (Beijing accent)
那,nà that; then
呢,ne indicates a question; how about...?;
能,néng can; be able
你,nǐ you (singular)
年,nián year
女儿,nǚ'ér daughter
朋友,péngyou friend
漂亮,piàoliang pretty; beautiful
苹果,píngguǒ apple
七,qī seven
钱,qián money; coin
前面,qiánmiàn in front
请,qǐng please; invite; to treat someone to something
去,qù go; to leave
热,rè heat; hot
人,rén person; man; people
认识,rènshi recognize; know (a person)
三,sān three
商店,shāngdiàn shop; store
上,shàng above; up
上午,shàngwǔ late morning (before noon)
少,shǎo few; little
谁,shéi who
什么,shénme what? (replaces the noun to turn a statement into a question)
十,shí ten
时候,shíhou time
是,shì be; is; are; am
书,shū book; letter
水,shuǐ water
水果,shuǐguǒ fruit
睡觉,shuì jiào to sleep; go to bed
说,shuō speak
四,sì four
岁,suì years old; age
他,tā he; him
她,tā she
太,tài too (much)
天气,tiānqì weather
听,tīng listen; hear
同学,tóngxué fellow student; schoolmate
喂,wèi hello (on the phone)
我,wǒ I; me
我们,wǒmen we; us
五,wǔ five
喜欢,xǐhuan to like
下,xià fall; below
下午,xiàwǔ afternoon
下雨,xiàyǔ to rain
先生,xiānsheng Mr.; Sir
现在,xiànzài now
想,xiǎng think; believe; suppose; would like to
小,xiǎo small; young
小姐,xiǎojie young lady; miss; Ms.
些,xiē some; few; several
写,xiě to write; to compose
谢谢,xièxie thank you
星期,xīngqī week
学生,xuésheng student
学习,xuéxí learn; to study
学校,xuéxiào school
一,yī one; once; a
衣服,yīfu clothes
医生,yīshēng doctor
医院,yīyuàn hospital
椅子,yǐzi chair
一点儿,yìdiǎnr a bit; a few
有,yǒu have
月,yuè moon; month
在,zài at; on; in; indicates an action in progress
再见,zàijiàn goodbye; see you later
怎么,zěnme how?
怎么样,zěnmeyàng how about?; how is/was it?
这,zhè this
中国,Zhōngguó China
中午,zhōngwǔ noon; midday
住,zhù to live; reside; to stop
桌子,zhuōzi table; desk
字,zì letter; character
昨天,zuótiān yesterday
做,zuò do; make
坐,zuò sit
